positive,negative,occurrences,attr_name,type,importance,negative_perc,positive_perc
24,4,28,Product Name,TITLE,9,0.14285714285714285,0.8571428571428571
7,3,10,Seller,NAME,2.0,0.3,0.7
62,20,82,Price,PRICE,2.0,0.24390243902439024,0.7560975609756098
1,0,1,Min,TITLE,0,0.0,1.0
34,14,48,Description,PROSE,1.5,0.2916666666666667,0.7083333333333334
55,12,67,Rating,RATING,3.0,0.1791044776119403,0.8208955223880597
1,0,1,Color,TITLE,0,0.0,1.0
4,0,4,Product Category,TITLE,6,0.0,1.0
4,3,7,Article Content,PROSE,2,0.42857142857142855,0.5714285714285714
1,0,1,Publication Date,DATE,4.5,0.0,1.0
30,7,37,Name,TITLE,9.0,0.1891891891891892,0.8108108108108109
0,8,8,Check-in hours,TIME,2,1.0,0.0
6,3,9,Address,TITLE,4,0.3333333333333333,0.6666666666666666
37,16,53,Additional informations,TITLE,0,0.3018867924528302,0.6981132075471698
4,0,4,other,TITLE,0,0.0,1.0
2,0,2,Size,TITLE,0,0.0,1.0
30,0,30,Location,TITLE,5.5,0.0,1.0
1,1,2,Labels/actions,TITLE,0,0.5,0.5
0,1,1,Annotations in webpage,TITLE,0,1.0,0.0
3,2,5,Annotation in webpage,TITLE,0,0.4,0.6
5,1,6,Phone Number,NUMERIC,0,0.16666666666666666,0.8333333333333334
1,0,1,Unknown,TITLE,0,0.0,1.0
1,0,1,Galleria fotografica,TITLE,0,0.0,1.0
2,1,3,Labels or actions,TITLE,0,0.3333333333333333,0.6666666666666666
4,2,6,Check in hours,TITLE,0,0.3333333333333333,0.6666666666666666
21,12,33,Advertisement title,TITLE,4,0.36363636363636365,0.6363636363636364
1,0,1,Number of photos,TITLE,0,0.0,1.0
6,1,7,Other,TITLE,0,0.14285714285714285,0.8571428571428571
1,0,1,Number of floors,TITLE,0,0.0,1.0
10,1,11,Broker,NAME,2,0.09090909090909091,0.9090909090909091
1,0,1,Recensioni,TITLE,0,0.0,1.0
7,1,8,City,NAME,6,0.125,0.875
5,3,8,Surface,NUMERIC,3,0.375,0.625
1,0,1,Codice di riferimento,TITLE,0,0.0,1.0
3,5,8,Energy Class,DISCRETE,2,0.625,0.375
1,0,1,Contact,TITLE,0,0.0,1.0
1,0,1,number of photos,TITLE,0,0.0,1.0
1,0,1,Restaurant name,TITLE,0,0.0,1.0
1,0,1,Price Range,TITLE,0,0.0,1.0
2,0,2,address,TITLE,0,0.0,1.0
1,0,1,ID,TITLE,0,0.0,1.0
1,1,2,Year of construction,YEAR,5,0.5,0.5
2,3,5,Number of rooms,NUMERIC,2,0.6,0.4
0,1,1,Bathrooms,TITLE,2,1.0,0.0
1,0,1,Number of balconies,TITLE,0,0.0,1.0
0,1,1,Ratings,TITLE,0,1.0,0.0
0,1,1,Additional information,TITLE,0,1.0,0.0
0,1,1,tripadvisor,TITLE,0,1.0,0.0
0,1,1,additional information,TITLE,0,1.0,0.0
1,0,1,Number of 3 stars reviews,TITLE,0,0.0,1.0
1,0,1,Date,TITLE,0,0.0,1.0
25,1,26,Book Title,TITLE,9,0.038461538461538464,0.9615384615384616
14,0,14,Author,NAME,4.5,0.0,1.0
0,1,1,Letteratura nordamericana,TITLE,0,1.0,0.0
4,3,7,Pages,NUMERIC,2,0.42857142857142855,0.5714285714285714
8,0,8,Book Description,PROSE,2,0.0,1.0
5,0,5,Date of publication,YEAR,4,0.0,1.0
5,0,5,Publisher,TITLE,0,0.0,1.0
1,0,1,Points,TITLE,0,0.0,1.0
6,6,12,Code/ID,NUMERIC,2,0.5,0.5
2,0,2,Team,NAME,6,0.0,1.0
17,0,17,Player Name,NAME,9,0.0,1.0
3,8,11,Height,NUMERIC,3,0.7272727272727273,0.2727272727272727
3,0,3,Date of birth,DATE,6,0.0,1.0
0,5,5,Value,PRICE,2,1.0,0.0
2,0,2,Role,NAME,5.5,0.0,1.0
2,0,2,Weight,TITLE,0,0.0,1.0
2,1,3,Additional Information,PROSE,2,0.3333333333333333,0.6666666666666666
1,0,1,Book Category,TITLE,0,0.0,1.0
1,0,1,Argomenti,TITLE,0,0.0,1.0
1,0,1,Country,TITLE,0,0.0,1.0
