positive,negative,occurrences,attr_name,type,importance,negative_perc,positive_perc
1,0,1,office furniture,TITLE,0,0.0,1.0
1,0,1,miscellaneous items,TITLE,0,0.0,1.0
1,0,1,Tools and Equipment,TITLE,0,0.0,1.0
2,0,2,company,TITLE,0,0.0,1.0
1,0,1,years,TITLE,0,0.0,1.0
2,1,3,various,TITLE,0,0.3333333333333333,0.6666666666666666
1,3,4,item_value,TITLE,0,0.75,0.25
2,0,2,Min,TITLE,0,0.0,1.0
1,0,1,Material,TITLE,0,0.0,1.0
1,0,1,Quantity,TITLE,0,0.0,1.0
45,5,50,price,TITLE,0,0.1,0.9
0,1,1,drill,TITLE,0,1.0,0.0
10,0,10,reviews,TITLE,0,0.0,1.0
0,2,2,electric bike,TITLE,0,1.0,0.0
1,0,1,supplier,TITLE,0,0.0,1.0
1,0,1,Manufacturer/Distributor,TITLE,0,0.0,1.0
1,0,1,quantity_price,TITLE,0,0.0,1.0
1,0,1,Color,TITLE,0,0.0,1.0
0,1,1,communication,TITLE,0,1.0,0.0
1,0,1,equipment,TITLE,0,0.0,1.0
0,1,1,various products,TITLE,0,1.0,0.0
1,0,1,item,TITLE,0,0.0,1.0
0,1,1,thermos,TITLE,0,1.0,0.0
0,1,1,Tools & Hardware,TITLE,0,1.0,0.0
3,0,3,news,TITLE,0,0.0,1.0
62,24,86,other,TITLE,0,0.27906976744186046,0.7209302325581395
1,0,1,datetime,TITLE,0,0.0,1.0
1,1,2,lastminute,TITLE,0,0.5,0.5
2,6,8,number,TITLE,0,0.75,0.25
3,0,3,review_count,TITLE,0,0.0,1.0
0,1,1,Best Western,TITLE,0,1.0,0.0
1,0,1,grade,TITLE,0,0.0,1.0
18,0,18,address,TITLE,0,0.0,1.0
12,1,13,date,TITLE,0,0.07692307692307693,0.9230769230769231
0,1,1,bestwestern,TITLE,0,1.0,0.0
1,0,1,facility,TITLE,0,0.0,1.0
2,0,2,sports equipment,TITLE,0,0.0,1.0
1,0,1,webpage,TITLE,0,0.0,1.0
0,1,1,Fitness equipment,TITLE,0,1.0,0.0
1,0,1,sports_brand,TITLE,0,0.0,1.0
14,2,16,rating,TITLE,0,0.125,0.875
1,0,1,number of reviews,TITLE,0,0.0,1.0
0,1,1,performance,TITLE,0,1.0,0.0
0,3,3,sportswear,TITLE,0,1.0,0.0
2,0,2,size,TITLE,0,0.0,1.0
0,3,3,age,TITLE,0,1.0,0.0
0,1,1,comfortable shoes,TITLE,0,1.0,0.0
1,0,1,Apparel,TITLE,0,0.0,1.0
1,0,1,Other,TITLE,0,0.0,1.0
0,1,1,Fitness Equipment,TITLE,0,1.0,0.0
1,1,2,Restaurant,TITLE,0,0.5,0.5
7,0,7,city,TITLE,0,0.0,1.0
14,10,24,restaurant,TITLE,0,0.4166666666666667,0.5833333333333334
1,0,1,Chain Rating,TITLE,0,0.0,1.0
2,0,2,opening_hours,TITLE,0,0.0,1.0
6,1,7,phone_number,TITLE,0,0.14285714285714285,0.8571428571428571
1,0,1,last_update,TITLE,0,0.0,1.0
0,1,1,vegan,TITLE,0,1.0,0.0
1,0,1,Points,TITLE,0,0.0,1.0
1,0,1,happycow_review,TITLE,0,0.0,1.0
1,0,1,views,TITLE,0,0.0,1.0
0,1,1,username,TITLE,0,1.0,0.0
0,1,1,hotel_de,TITLE,0,1.0,0.0
14,6,20,hotel,TITLE,0,0.3,0.7
1,0,1,hotel_de_rating,TITLE,0,0.0,1.0
1,0,1,number_of_photos,TITLE,0,0.0,1.0
3,0,3,hotel_name,TITLE,0,0.0,1.0
