positive,negative,occurrences,attr_name,type,importance,negative_perc,positive_perc
1,0,1,office furniture,TITLE,0,0.0,1.0
1,0,1,office supplies,TITLE,0,0.0,1.0
10,13,23,product,TITLE,0,0.5652173913043478,0.43478260869565216
2,0,2,company name,TITLE,0,0.0,1.0
1,0,1,years,TITLE,0,0.0,1.0
8,6,14,Unknown,TITLE,0,0.42857142857142855,0.5714285714285714
3,0,3,price range,TITLE,0,0.0,1.0
1,0,1,min,TITLE,0,0.0,1.0
0,1,1,electric bike,TITLE,0,1.0,0.0
1,0,1,production_rate,TITLE,0,0.0,1.0
32,16,48,price,TITLE,0,0.3333333333333333,0.6666666666666666
2,0,2,minimum order,TITLE,0,0.0,1.0
2,1,3,item,TITLE,0,0.3333333333333333,0.6666666666666666
3,0,3,review,TITLE,0,0.0,1.0
0,1,1,product_review,TITLE,0,1.0,0.0
1,0,1,supplier type,TITLE,0,0.0,1.0
1,0,1,Store information,TITLE,0,0.0,1.0
1,1,2,quantity,TITLE,0,0.5,0.5
0,1,1,Color,TITLE,0,1.0,0.0
1,0,1,communication,TITLE,0,0.0,1.0
1,0,1,power tools,TITLE,0,0.0,1.0
1,0,1,furniture type,TITLE,0,0.0,1.0
5,1,6,category,TITLE,0,0.16666666666666666,0.8333333333333334
1,0,1,news headline,TITLE,0,0.0,1.0
1,0,1,news topic,TITLE,0,0.0,1.0
2,0,2,news,TITLE,0,0.0,1.0
1,0,1,datetime,TITLE,0,0.0,1.0
23,6,29,other,TITLE,0,0.20689655172413793,0.7931034482758621
8,0,8,hotel name,TITLE,0,0.0,1.0
2,14,16,value,TITLE,0,0.875,0.125
7,0,7,number of reviews,TITLE,0,0.0,1.0
2,0,2,grade,TITLE,0,0.0,1.0
22,1,23,address,TITLE,0,0.043478260869565216,0.9565217391304348
11,4,15,date,TITLE,0,0.26666666666666666,0.7333333333333333
10,7,17,hotel,TITLE,0,0.4117647058823529,0.5882352941176471
1,0,1,categorie,TITLE,0,0.0,1.0
3,1,4,brand,TITLE,0,0.25,0.75
1,0,1,fitness apparel,TITLE,0,0.0,1.0
15,7,22,rating,TITLE,0,0.3181818181818182,0.6818181818181818
1,0,1,integer value,TITLE,0,0.0,1.0
0,2,2,sportswear,TITLE,0,1.0,0.0
3,0,3,size,TITLE,0,0.0,1.0
0,1,1,winter jacket,TITLE,0,1.0,0.0
1,0,1,Product Description,TITLE,0,0.0,1.0
1,0,1,product description,TITLE,0,0.0,1.0
1,0,1,product attributes,TITLE,0,0.0,1.0
6,6,12,restaurant,TITLE,0,0.5,0.5
8,1,9,city,TITLE,0,0.1111111111111111,0.8888888888888888
0,1,1,unknown,TITLE,0,1.0,0.0
6,1,7,restaurant name,TITLE,0,0.14285714285714285,0.8571428571428571
0,1,1,Chain Rating,TITLE,0,1.0,0.0
0,15,15,number,TITLE,0,1.0,0.0
1,0,1,Restaurant Category,TITLE,0,0.0,1.0
1,0,1,opening hours,TITLE,0,0.0,1.0
6,1,7,phone number,TITLE,0,0.14285714285714285,0.8571428571428571
2,0,2,website,TITLE,0,0.0,1.0
1,0,1,last update,TITLE,0,0.0,1.0
1,0,1,users,TITLE,0,0.0,1.0
1,0,1,review count,TITLE,0,0.0,1.0
3,0,3,username,TITLE,0,0.0,1.0
1,0,1,Points,TITLE,0,0.0,1.0
1,0,1,page views,TITLE,0,0.0,1.0
0,1,1,numeric_value,TITLE,0,1.0,0.0
1,1,2,hotel_de,TITLE,0,0.5,0.5
5,0,5,number of photos,TITLE,0,0.0,1.0
0,1,1,room type,TITLE,0,1.0,0.0
1,0,1,room description,TITLE,0,0.0,1.0
1,0,1,hotel_description,TITLE,0,0.0,1.0
3,1,4,score,TITLE,0,0.25,0.75
1,0,1,quality,TITLE,0,0.0,1.0
2,0,2,attraction,TITLE,0,0.0,1.0
1,0,1,walking time,TITLE,0,0.0,1.0
2,0,2,travel time,TITLE,0,0.0,1.0
1,0,1,landmark,TITLE,0,0.0,1.0
1,0,1,airport_distance,TITLE,0,0.0,1.0
5,0,5,property description,TITLE,0,0.0,1.0
8,1,9,property,TITLE,0,0.1111111111111111,0.8888888888888888
1,0,1,indirizzo,TITLE,0,0.0,1.0
7,1,8,description,TITLE,0,0.125,0.875
1,0,1,number of floors,TITLE,0,0.0,1.0
4,0,4,property price,TITLE,0,0.0,1.0
1,0,1,property_price,TITLE,0,0.0,1.0
1,0,1,Real estate agency,TITLE,0,0.0,1.0
3,0,3,real estate agency,TITLE,0,0.0,1.0
